number,company,symbol,ytd_return
428,Mid-America Apartment Communities,,-13.7
429,HP Inc.,,-13.7
430,Skyworks Solutions,,-13.85
431,Keurig Dr Pepper,,-13.85
432,Verisk Analytics,,-13.94
433,Prudential Financial,,-14.06
434,DaVita,,-14.14
435,West Pharmaceutical Services,,-14.71
436,AvalonBay Communities,,-14.93
437,Corpay,,-15.06
438,Targa Resources,,-15.18
439,"UDR, Inc.",,-15.71
440,Weyerhaeuser,,-15.77
441,Church & Dwight,,-15.97
442,Texas Pacific Land Corporation,,-16.03
443,Fidelity National Information Services,,-16.18
444,KKR,,-16.38
445,Viatris,,-16.55
446,Becton Dickinson,,-16.68
447,Kraft Heinz,,-16.7
448,LKQ Corporation,,-16.79
449,PG&E Corporation,,-17
450,Occidental Petroleum,,-17.2
451,PayPal,,-17.93
452,Old Dominion,,-18.16
453,Cooper Companies (The),,-18.42
454,Regeneron Pharmaceuticals,,-18.67
455,Molson Coors Beverage Company,,-18.81
456,IDEX Corporation,,-19.09
457,Adobe Inc.,,-19.59
458,Comcast,,-20.14
459,Copart,,-20.26
460,Akamai Technologies,,-20.41
461,Zebra Technologies,,-20.72
462,Erie Indemnity,,-20.94
463,Smurfit WestRock,,-21.07
464,Salesforce,,-21.21
465,Bristol Myers Squibb,,-21.25
466,Alexandria Real Estate Equities,,-21.28
467,Fair Isaac,,-21.35
468,Global Payments,,-21.77
469,Baxter International,,-21.98
470,International Flavors & Fragrances,,-23.11
471,Hormel Foods,,-23.24
472,Apollo Global Management,,-23.72
473,General Mills,,-23.84
474,Brown–Forman,,-24.43
475,Campbell Soup Company,,-25.81
476,Clorox,,-26.18
477,Charter Communications,,-26.33
478,Edison International,,-26.9
479,UnitedHealth Group,,-27.77
480,Accenture,,-28.79
481,Chipotle Mexican Grill,,-29.75
482,Kenvue,,-30.07
483,United Parcel Service,,-30.17
484,Target Corporation,,-30.17
485,ONEOK,,-31.32
486,Eastman Chemical Company,,-31.94
487,Molina Healthcare,,-32.38
488,GoDaddy,,-32.76
489,Conagra Brands,,-32.9
490,EPAM Systems,,-33.68
491,Moderna,,-33.89
492,Align Technology,,-34.67
493,Constellation Brands,,-35.94
494,Fiserv,,-38.63
495,FactSet,,-38.76
496,LyondellBasell,,-39.13
497,Centene Corporation,,-40.41
498,CarMax,,-45.33
499,Dow Inc.,,-45.8
500,Gartner,,-46.71
501,Deckers Brands,,-49.3
502,Lululemon Athletica,,-52.57
503,"The Trade Desk, Inc.",,-54.12
